ranking,book_id,titulo,autor,author_id,url_livro,url_autor,url_capa,avaliacao_media,numero_avaliacoes,score,numero_votos_lista,pagina_lista,nota_ponderada,faixa_avaliacao,faixa_popularidade
1,2767052,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,153394,https://www.goodreads.com/book/show/2767052-the-hunger-games,https://www.goodreads.com/author/show/153394.Suzanne_Collins,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1586722975i/2767052._SX50_.jpg,4.36,10270211,4535327,46087,1,4.350172957362132,"4,25 a 4,5",Muito alta
2,1885,Pride and Prejudice,Jane Austen,1265,https://www.goodreads.com/book/show/1885.Pride_and_Prejudice,https://www.goodreads.com/author/show/1265.Jane_Austen,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320399351i/1885._SY75_.jpg,4.3,5004751,3078758,31536,1,4.284932049891659,"4,25 a 4,5",Muito alta
3,2657,To Kill a Mockingbird,Harper Lee,1825,https://www.goodreads.com/book/show/2657.To_Kill_a_Mockingbird,https://www.goodreads.com/author/show/1825.Harper_Lee,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1553383690i/2657._SY75_.jpg,4.26,7117291,2671346,27274,1,4.251254975674054,"4,25 a 4,5",Muito alta
4,2,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,1077326,https://www.goodreads.com/book/show/2.Harry_Potter_and_the_Order_of_the_Phoenix,https://www.goodreads.com/author/show/1077326.J_K_Rowling,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1786592302i/2._SX50_.jpg,4.5,3920125,2120502,21733,1,4.462998686944598,"4,25 a 4,5",Muito alta
5,19063,The Book Thief,Markus Zusak,11466,https://www.goodreads.com/book/show/19063.The_Book_Thief,https://www.goodreads.com/author/show/11466.Markus_Zusak,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1522157426i/19063._SY75_.jpg,4.39,2976551,2025572,20800,1,4.355405543197531,"4,25 a 4,5",Muito alta
6,41865,"Twilight (The Twilight Saga, #1)",Stephenie Meyer,941441,https://www.goodreads.com/book/show/41865.Twilight,https://www.goodreads.com/author/show/941441.Stephenie_Meyer,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1700522826i/41865._SY75_.jpg,3.68,7506815,1801448,18365,1,3.700406187483293,"3,5 a 4,0",Muito alta
7,170448,Animal Farm,George Orwell,3706,https://www.goodreads.com/book/show/170448.Animal_Farm,https://www.goodreads.com/author/show/3706.George_Orwell,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1325861570i/170448._SY75_.jpg,4.03,4802644,1785398,18470,1,4.034676350801609,"4,0 a 4,25",Muito alta
8,30,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,656983,https://www.goodreads.com/book/show/30.J_R_R_Tolkien_4_Book_Boxed_Set,https://www.goodreads.com/author/show/656983.J_R_R_Tolkien,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1656625315i/30._SX50_.jpg,4.62,147332,1720719,17813,1,4.236558182171578,"Acima de 4,5",Média
9,11127,"The Chronicles of Narnia (The Chronicles of Narnia, #1-7)",C.S. Lewis,1069006,https://www.goodreads.com/book/show/11127.The_Chronicles_of_Narnia,https://www.goodreads.com/author/show/1069006.C_S_Lewis,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1661032875i/11127._SY75_.jpg,4.28,722660,1564911,16298,1,4.2140218909993195,"4,25 a 4,5",Muito alta
10,11870085,The Fault in Our Stars,John  Green,1406384,https://www.goodreads.com/book/show/11870085-the-fault-in-our-stars,https://www.goodreads.com/author/show/1406384.John_Green,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1660273739i/11870085._SX50_.jpg,4.12,5879511,1451669,15020,1,4.118260197914814,"4,0 a 4,25",Muito alta
11,5297,The Picture of Dorian Gray,Oscar Wilde,3565,https://www.goodreads.com/book/show/5297.The_Picture_of_Dorian_Gray,https://www.goodreads.com/author/show/3565.Oscar_Wilde,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1546103428i/5297._SY75_.jpg,4.13,1999718,1420980,14806,1,4.123801069160673,"4,0 a 4,25",Muito alta
12,28187,"The Lightning Thief (Percy Jackson and the Olympians, #1)",Rick Riordan,15872,https://www.goodreads.com/book/show/28187.The_Lightning_Thief,https://www.goodreads.com/author/show/15872.Rick_Riordan,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1400602609i/28187._SY75_.jpg,4.31,3559730,1327564,13848,1,4.288431026821013,"4,25 a 4,5",Muito alta
13,6185,Wuthering Heights,Emily Brontë,4191,https://www.goodreads.com/book/show/6185.Wuthering_Heights,https://www.goodreads.com/author/show/4191.Emily_Bront_,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388212715i/6185._SY75_.jpg,3.89,2290752,1285728,13408,1,3.9194720033894734,"3,5 a 4,0",Muito alta
14,370493,The Giving Tree,Shel Silverstein,435477,https://www.goodreads.com/book/show/370493.The_Giving_Tree,https://www.goodreads.com/author/show/435477.Shel_Silverstein,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1769901237i/370493._SX50_.jpg,4.39,1263696,1267758,13122,1,4.319596913237994,"4,25 a 4,5",Muito alta
15,58613451,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,1077326,https://www.goodreads.com/book/show/58613451-harry-potter-and-the-order-of-the-phoenix,https://www.goodreads.com/author/show/1077326.J_K_Rowling,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1627045351i/58613451._SY75_.jpg,4.5,3920125,1244475,12663,1,4.462998686944598,"4,25 a 4,5",Muito alta
16,22628,The Perks of Being a Wallflower,Stephen Chbosky,12898,https://www.goodreads.com/book/show/22628.The_Perks_of_Being_a_Wallflower,https://www.goodreads.com/author/show/12898.Stephen_Chbosky,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1650033115i/22628._SX50_.jpg,4.24,2071401,1231577,12806,1,4.216511794005378,"4,0 a 4,25",Muito alta
17,157993,The Little Prince,Antoine de Saint-Exupéry,1020792,https://www.goodreads.com/book/show/157993.The_Little_Prince,https://www.goodreads.com/author/show/1020792.Antoine_de_Saint_Exup_ry,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1367545443i/157993._SY75_.jpg,4.34,2603848,1221780,12848,1,4.3076294958262356,"4,25 a 4,5",Muito alta
