ranking,book_id,titulo,autor,url_livro,url_capa,avaliacao_media,numero_avaliacoes,nota_ponderada,score,numero_votos_lista,faixa_avaliacao,faixa_popularidade
1,2767052,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,https://www.goodreads.com/book/show/2767052-the-hunger-games,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1586722975i/2767052._SX50_.jpg,4.36,10270211,4.350172957362132,4535327,46087,"4,25 a 4,5",Muito alta
2,1885,Pride and Prejudice,Jane Austen,https://www.goodreads.com/book/show/1885.Pride_and_Prejudice,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320399351i/1885._SY75_.jpg,4.3,5004751,4.284932049891659,3078758,31536,"4,25 a 4,5",Muito alta
3,2657,To Kill a Mockingbird,Harper Lee,https://www.goodreads.com/book/show/2657.To_Kill_a_Mockingbird,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1553383690i/2657._SY75_.jpg,4.26,7117291,4.251254975674054,2671346,27274,"4,25 a 4,5",Muito alta
4,2,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,https://www.goodreads.com/book/show/2.Harry_Potter_and_the_Order_of_the_Phoenix,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1786592302i/2._SX50_.jpg,4.5,3920125,4.462998686944598,2120502,21733,"4,25 a 4,5",Muito alta
5,19063,The Book Thief,Markus Zusak,https://www.goodreads.com/book/show/19063.The_Book_Thief,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1522157426i/19063._SY75_.jpg,4.39,2976551,4.355405543197531,2025572,20800,"4,25 a 4,5",Muito alta
6,41865,"Twilight (The Twilight Saga, #1)",Stephenie Meyer,https://www.goodreads.com/book/show/41865.Twilight,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1700522826i/41865._SY75_.jpg,3.68,7506815,3.700406187483293,1801448,18365,"3,5 a 4,0",Muito alta
7,170448,Animal Farm,George Orwell,https://www.goodreads.com/book/show/170448.Animal_Farm,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1325861570i/170448._SY75_.jpg,4.03,4802644,4.034676350801609,1785398,18470,"4,0 a 4,25",Muito alta
8,30,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,https://www.goodreads.com/book/show/30.J_R_R_Tolkien_4_Book_Boxed_Set,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1656625315i/30._SX50_.jpg,4.62,147332,4.236558182171578,1720719,17813,"Acima de 4,5",Média
9,11127,"The Chronicles of Narnia (The Chronicles of Narnia, #1-7)",C.S. Lewis,https://www.goodreads.com/book/show/11127.The_Chronicles_of_Narnia,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1661032875i/11127._SY75_.jpg,4.28,722660,4.2140218909993195,1564911,16298,"4,25 a 4,5",Muito alta
10,11870085,The Fault in Our Stars,John  Green,https://www.goodreads.com/book/show/11870085-the-fault-in-our-stars,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1660273739i/11870085._SX50_.jpg,4.12,5879511,4.118260197914814,1451669,15020,"4,0 a 4,25",Muito alta
11,5297,The Picture of Dorian Gray,Oscar Wilde,https://www.goodreads.com/book/show/5297.The_Picture_of_Dorian_Gray,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1546103428i/5297._SY75_.jpg,4.13,1999718,4.123801069160673,1420980,14806,"4,0 a 4,25",Muito alta
12,28187,"The Lightning Thief (Percy Jackson and the Olympians, #1)",Rick Riordan,https://www.goodreads.com/book/show/28187.The_Lightning_Thief,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1400602609i/28187._SY75_.jpg,4.31,3559730,4.288431026821013,1327564,13848,"4,25 a 4,5",Muito alta
13,6185,Wuthering Heights,Emily Brontë,https://www.goodreads.com/book/show/6185.Wuthering_Heights,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388212715i/6185._SY75_.jpg,3.89,2290752,3.9194720033894734,1285728,13408,"3,5 a 4,0",Muito alta
14,370493,The Giving Tree,Shel Silverstein,https://www.goodreads.com/book/show/370493.The_Giving_Tree,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1769901237i/370493._SX50_.jpg,4.39,1263696,4.319596913237994,1267758,13122,"4,25 a 4,5",Muito alta
15,58613451,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,https://www.goodreads.com/book/show/58613451-harry-potter-and-the-order-of-the-phoenix,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1627045351i/58613451._SY75_.jpg,4.5,3920125,4.462998686944598,1244475,12663,"4,25 a 4,5",Muito alta
16,22628,The Perks of Being a Wallflower,Stephen Chbosky,https://www.goodreads.com/book/show/22628.The_Perks_of_Being_a_Wallflower,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1650033115i/22628._SX50_.jpg,4.24,2071401,4.216511794005378,1231577,12806,"4,0 a 4,25",Muito alta
17,157993,The Little Prince,Antoine de Saint-Exupéry,https://www.goodreads.com/book/show/157993.The_Little_Prince,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1367545443i/157993._SY75_.jpg,4.34,2603848,4.3076294958262356,1221780,12848,"4,25 a 4,5",Muito alta
18,18405,Gone with the Wind,Margaret Mitchell,https://www.goodreads.com/book/show/18405.Gone_with_the_Wind,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1551144577i/18405._SY75_.jpg,4.32,1271316,4.266387203534896,1204915,12429,"4,25 a 4,5",Muito alta
19,10210,Jane Eyre,Charlotte Brontë,https://www.goodreads.com/book/show/10210.Jane_Eyre,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1557343311i/10210._SY75_.jpg,4.16,2412032,4.150527381175802,1180966,12402,"4,0 a 4,25",Muito alta
20,4671,The Great Gatsby,F. Scott Fitzgerald,https://www.goodreads.com/book/show/4671.The_Great_Gatsby,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1738790966i/4671._SY75_.jpg,3.93,6137332,3.9397107453719133,1160234,12327,"3,5 a 4,0",Muito alta
21,7144,Crime and Punishment,Fyodor Dostoevsky,https://www.goodreads.com/book/show/7144.Crime_and_Punishment,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1382846449i/7144._SY75_.jpg,4.29,1155863,4.239970180814914,1101078,11454,"4,25 a 4,5",Muito alta
22,968,"The Da Vinci Code (Robert Langdon, #2)",Dan    Brown,https://www.goodreads.com/book/show/968.The_Da_Vinci_Code,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1720313229i/968._SY75_.jpg,3.94,2582750,3.9600028015710036,1042740,10958,"3,5 a 4,0",Muito alta
